epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.540241003036499,0.5546879172325134,0.6932481527328491,0.5371236205101013,0.8925672173500061,0.7360174059867859,0.8165127038955688,0.5609169006347656,0.7176761031150818,0.8456782698631287
1,0.6880061626434326,0.7486132383346558,0.5968422293663025,0.704426646232605,0.6980340480804443,0.7631170153617859,0.8403440713882446,0.5054314732551575,0.7651164531707764,0.8123899698257446
2,0.711752712726593,0.7765007615089417,0.5710743069648743,0.7138503193855286,0.7517445683479309,0.7638494372367859,0.8467369675636292,0.5044054388999939,0.7558757066726685,0.8335585594177246
3,0.7189458012580872,0.7871960997581482,0.5595753788948059,0.7187628746032715,0.7624325156211853,0.7689319849014282,0.8496387004852295,0.49070701003074646,0.7700015306472778,0.8180813193321228
4,0.7254319787025452,0.7971242666244507,0.5486156940460205,0.7237703204154968,0.770576536655426,0.7737703919410706,0.8547564148902893,0.48502910137176514,0.7830826640129089,0.8058797121047974
5,0.7326952815055847,0.8062574863433838,0.5379202365875244,0.7310636043548584,0.7756971716880798,0.7850230932235718,0.8679649233818054,0.4649331271648407,0.7996421456336975,0.8051427006721497
6,0.7439239025115967,0.819771409034729,0.5217994451522827,0.742111086845398,0.7842637896537781,0.8020685315132141,0.8829482793807983,0.43360814452171326,0.8174781799316406,0.8173443078994751
7,0.7548397183418274,0.832102358341217,0.5064585208892822,0.7543594241142273,0.7897338271141052,0.8161177039146423,0.8927303552627563,0.41845884919166565,0.8212437033653259,0.8446136713027954
8,0.7608518004417419,0.8394773602485657,0.49676406383514404,0.7603059411048889,0.7944896221160889,0.8145197033882141,0.8928492069244385,0.4204776883125305,0.8064627051353455,0.8655365705490112
9,0.7653700709342957,0.8444420099258423,0.4900375306606293,0.7647116780281067,0.7982540130615234,0.8208229541778564,0.8949272632598877,0.41629570722579956,0.8248946666717529,0.8498546481132507
