epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5393790006637573,0.5474516749382019,0.6931830644607544,0.5404840111732483,0.8124361634254456,0.5673384070396423,0.5885891914367676,0.6792348623275757,0.5660175085067749,0.8651680946350098
1,0.5682731866836548,0.5901979804039001,0.6805105805397034,0.5698652267456055,0.7210640907287598,0.5650967955589294,0.5891002416610718,0.6820141077041626,0.6052494049072266,0.568398654460907
2,0.5780584812164307,0.6025381684303284,0.676924467086792,0.5798052549362183,0.7103026509284973,0.5422141551971436,0.5912520289421082,0.6893278360366821,0.6332374215126038,0.36944684386253357
3,0.5846998691558838,0.612388014793396,0.6736986637115479,0.5881094932556152,0.694787323474884,0.57421875,0.6030094027519226,0.6777955889701843,0.6163550019264221,0.5681529641151428
4,0.592112123966217,0.6210311651229858,0.6707309484481812,0.5964650511741638,0.687235414981842,0.5801447033882141,0.6100607514381409,0.6766158938407898,0.622923731803894,0.5712238550186157
5,0.5962141752243042,0.6285943984985352,0.6676868200302124,0.6000396013259888,0.6901395916938782,0.585693359375,0.6160834431648254,0.6739826798439026,0.6219181418418884,0.6011136770248413
6,0.602377712726593,0.6358880400657654,0.6647511124610901,0.6063517332077026,0.6896504759788513,0.5816983580589294,0.6067904829978943,0.6746433973312378,0.6114843487739563,0.6261311173439026
7,0.6063172221183777,0.6411684155464172,0.6624233722686768,0.6106534004211426,0.6881018280982971,0.5962579846382141,0.6257554292678833,0.666472852230072,0.6149476170539856,0.6825533509254456
8,0.6098466515541077,0.6466501355171204,0.6598658561706543,0.6155726909637451,0.6821953058242798,0.5767267346382141,0.611560583114624,0.6777430176734924,0.6243725419044495,0.5500552654266357
9,0.6136051416397095,0.6512085795402527,0.6577482223510742,0.617033839225769,0.6939524412155151,0.5920854210853577,0.6184175610542297,0.6687933206558228,0.6106959581375122,0.6826352477073669
