epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.7270402908325195,0.8062082529067993,0.5342034697532654,0.7330406308174133,0.7542387247085571,0.7876864075660706,0.8738546967506409,0.45283934473991394,0.8405225872993469,0.750767707824707
1,0.791519284248352,0.876687228679657,0.43809717893600464,0.7966576218605042,0.8090047836303711,0.8103914856910706,0.8872513175010681,0.4260713458061218,0.8022229075431824,0.8629570603370667
2,0.8105518221855164,0.8958951830863953,0.40538960695266724,0.8151199817657471,0.8261821866035461,0.8067960143089294,0.8877629041671753,0.42890796065330505,0.8413394689559937,0.7931457757949829
3,0.821525514125824,0.9061320424079895,0.3862460255622864,0.8259018659591675,0.8359141945838928,0.8175159692764282,0.895581841468811,0.41377726197242737,0.8336422443389893,0.8287270069122314
4,0.829328179359436,0.9132640957832336,0.37209293246269226,0.833418071269989,0.8431179523468018,0.7996492981910706,0.8823818564414978,0.437625527381897,0.8228756189346313,0.803300142288208
5,0.8330201506614685,0.9164987206459045,0.3655809462070465,0.8373889923095703,0.8458926677703857,0.8111683130264282,0.8903031349182129,0.42508020997047424,0.8119242787361145,0.8480939865112305
6,0.8367699980735779,0.9198571443557739,0.35850200057029724,0.8407949209213257,0.8496590852737427,0.810791015625,0.8900415897369385,0.4369453191757202,0.8338793516159058,0.8128812909126282
7,0.8405136466026306,0.9227631688117981,0.35237613320350647,0.8446136116981506,0.8528274297714233,0.807373046875,0.8863266110420227,0.44375553727149963,0.8155615925788879,0.8330262303352356
8,0.842598557472229,0.924781858921051,0.34791284799575806,0.8465045690536499,0.8549139499664307,0.8137428760528564,0.8917263746261597,0.42455050349235535,0.8362347483634949,0.8162388205528259
9,0.8447672128677368,0.9267451167106628,0.3435375988483429,0.84868323802948,0.8567855954170227,0.8140092492103577,0.8919785618782043,0.4311087727546692,0.8151742815971375,0.8494861125946045
